Player,Height,Weight,DraftNumber,Origin
Jae Crowder,6-6,235.0,34,Marquette
D'Angelo Russell,6-3,193.0,2,Ohio State
Kris Dunn,6-3,205.0,5,Providence
Harrison Barnes,6-8,225.0,7,North Carolina
Jeremy Lamb,6-5,180.0,12,Connecticut
JaVale McGee,7-0,270.0,18,Nevada
DaQuan Jeffries,6-5,222.0,UFA,Tulsa
Wesley Johnson,6-7,215.0,4,Syracuse
Avery Bradley,6-3,180.0,19,University of Texas at Austin
Rodney Stuckey,6-5,205.0,15,Eastern Washington
Bam Adebayo,6-9,255.0,14,Kentucky
Nic Claxton,6-11,215.0,31,Georgia
Scotty Pippen Jr.,6-1,170.0,UFA,Vanderbilt
Russell Westbrook,6-4,200.0,4,UCLA
Jordan Goodwin,6-5,215.0,UFA,St. Louis
Austin Reaves,6-5,197.0,UFA,Oklahoma
Dwight Powell,6-10,240.0,45,Stanford
Shaun Livingston,6-7,192.0,4,Peoria Central HS (IL)
Allonzo Trier,6-4,200.0,,Arizona
Juancho Hernangómez,6-9,214.0,15,Estudiantes
Dwayne Bacon,6-6,221.0,40,Florida State
Kris Humphries,6-9,235.0,14,Minnesota
Mo Williams,6-1,198.0,47,Alabama
Kevin Garnett,6-11,240.0,5,Farragut Academy HS (IL)
Darrun Hilliard,6-6,220.0,38,Villanova
Orlando Robinson,6-10,235.0,UFA,Fresno State
Jared Sullinger,6-9,260.0,21,Ohio State
Saben Lee,6-2,183.0,38,Vanderbilt
Trevor Booker,6-8,228.0,23,Clemson
Ivan Rabb,6-10,220.0,35,California
Joe Ingles,6-8,220.0,UFA,Maccabi Tel Aviv
Kevon Looney,6-9,222.0,30,UCLA
Brandon Miller,6-7,200.0,2,Alabama
Wesley Matthews,6-5,220.0,UFA,Marquette
Jerian Grant,6-4,198.0,19,Notre Dame
Nerlens Noel,6-10,220.0,6,Kentucky
James Anderson,6-6,213.0,20,Oklahoma State
Lamar Stevens,6-7,230.0,UFA,Penn State
Oshae Brissett,6-7,210.0,UFA,Syracuse
Salah Mejri,7-2,235.0,UFA,Real Madrid
Malik Monk,6-3,200.0,11,Kentucky
Chimezie Metu,6-10,225.0,49,USC
Haywood Highsmith,6-5,220.0,,Wheeling Jesuit
Amir Johnson,6-9,240.0,56,Westchester HS (CA)
Lance Stephenson,6-5,210.0,40,Cincinnati
Taj Gibson,6-9,232.0,26,Southern California
Ausar Thompson,6-6,205.0,5,Overtime Elite
Davon Reed,6-5,206.0,32,Miami
DeMarre Carroll,6-6,215.0,27,Missouri
KZ Okpala,6-8,215.0,32,Stanford
Brandon Jennings,6-1,170.0,10,Virtus Roma
Pelle Larsson,6-5,215.0,44,Arizona
Taylor Hendricks,6-9,215.0,9,Central Florida
Cheick Diallo,6-8,219.0,33,Kansas
Jonathan Isaac,6-10,230.0,6,Florida State
Joe Johnson,6-7,240.0,10,Arkansas
Neemias Queta,7-0,248.0,39,Utah State
Javonte Green,6-5,205.0,UFA,Radford
Gary Payton II,6-2,195.0,UFA,Oregon State
Bismack Biyombo,6-8,255.0,7,Baloncesto Fuenlabrada
Patty Mills,6-2,180.0,55,St. Mary's
Joe Harris,6-6,220.0,33,Virginia
Drew Eubanks,6-10,245.0,UFA,Oregon State
Ante Žižić,6-10,266.0,23,Darussafaka
Isaiah Collier,6-3,210.0,29,Southern California
Aaron Brooks,6-0,161.0,26,Oregon
Kyle Lowry,6-0,196.0,24,Villanova
Dalano Banton,6-8,203.0,46,Nebraska
Troy Daniels,6-4,200.0,UFA,Va Commonwealth
Jared Dudley,6-6,237.0,22,Boston College
Paul Pierce,6-7,235.0,10,Kansas
PJ Dozier,6-6,205.0,UFA,South Carolina
Kendall Marshall,6-4,200.0,13,North Carolina
Terrence Jones,6-9,252.0,18,Kentucky
Nenê,6-11,250.0,7,Vasco de Gama
Talen Horton-Tucker,6-4,234.0,46,Iowa State
Terrence Shannon Jr.,6-6,215.0,27,Illinois
Norman Powell,6-4,215.0,46,UCLA
Dante Exum,6-5,214.0,5,Australian Institute of Sport
Precious Achiuwa,6-8,243.0,20,Memphis
Isaiah Hartenstein,7-0,250.0,43,Zalgiris
Matisse Thybulle,6-5,201.0,20,Washington
Wendell Carter Jr.,6-10,270.0,7,Duke
Luol Deng,6-9,237.0,7,Duke
Ivica Zubac,7-0,240.0,32,Mega Basket
Juan Toscano-Anderson,6-6,209.0,UFA,Marquette
Khem Birch,6-8,233.0,UFA,UNLV
Aleksej Pokusevski,7-0,210.0,17,Olympiacos
Victor Wembanyama,7-3,235.0,1,Metropolitans 92
DeAndre' Bembry,6-5,210.0,21,St. Joseph's (PA)
Day'Ron Sharpe,6-9,265.0,29,North Carolina
Luke Kornet,7-1,250.0,UFA,Vanderbilt
Immanuel Quickley,6-2,190.0,25,Kentucky
Zach Collins,6-11,250.0,10,Gonzaga
Keon Ellis,6-4,175.0,UFA,Alabama
Bilal Coulibaly,6-8,195.0,7,Metropolitans 92
Josh Hart,6-4,215.0,30,Villanova
Kobe Bryant,6-6,212.0,13,Lower Merion HS (PA)
Jonathan Mogbo,6-9,225.0,31,San Francisco
Draymond Green,6-6,230.0,35,Michigan State
Jonah Bolden,6-8,225.0,36,UCLA
Isaiah Joe,6-3,165.0,49,Arkansas
Josh Christopher,6-4,215.0,24,Arizona State
Mychal Mulder,6-3,195.0,UFA,Kentucky
Sam Merrill,6-4,205.0,60,Utah State
Isaiah Livers,6-6,232.0,42,Michigan
Damion Lee,6-6,210.0,UFA,Drexel
Trent Forrest,6-4,210.0,UFA,Florida State
Sindarius Thornwell,6-4,215.0,48,South Carolina
Vince Williams Jr.,6-4,205.0,47,Virginia Commonwealth
Bruce Brown,6-4,202.0,42,Miami
Gerald Green,6-7,205.0,18,No College
Mindaugas Kuzminskas,6-9,215.0,UFA,Malaga
Chris Clemons,5-9,180.0,UFA,Campbell University
Solomon Hill,6-6,226.0,23,Arizona
Montrezl Harrell,6-7,240.0,32,Louisville
D.J. Wilson,6-10,231.0,17,Michigan
Tyler Herro,6-5,195.0,13,Kentucky
Kyle Kuzma,6-9,221.0,27,Utah
Maxi Kleber,6-10,240.0,UFA,Bayern Munich
Eric Gordon,6-3,215.0,7,Indiana
Andre Roberson,6-7,210.0,26,Colorado
Abdel Nader,6-5,225.0,58,Iowa State
Gorgui Dieng,6-10,248.0,21,Louisville
Trevor Ariza,6-8,215.0,43,UCLA
P.J. Washington,6-6,230.0,12,Kentucky
Keyonte George,6-4,185.0,16,Baylor
Anthony Brown,6-7,224.0,34,Stanford
Ron Baker,6-4,220.0,UFA,Wichita State
Marquese Chriss,6-9,240.0,8,Washington
Isaiah Thomas,5-9,185.0,60,Washington
